k, l1, l2
1, 1.98865523e+04, 1.23944368e+05
2, 1.52911049e+04, 1.37715964e+04
3, 1.16085291e+04, 1.48225227e+03
4, 8.72759394e+03, 1.54385884e+02
5, 6.52075134e+03, 1.55453962e+01
6, 4.84673451e+03, 1.51168060e+00
7, 3.59631174e+03, 1.41818271e-01
8, 2.66601294e+03, 1.28222156e-02
9, 1.98386678e+03, 1.11607391e-03
10, 1.46517812e+03, 9.34238819e-05
11, 1.08225398e+03, 7.51260125e-06
12, 7.94040320e+02, 5.79721523e-07
13, 5.83228720e+02, 4.28816640e-08
14, 4.32242770e+02, 3.03718464e-09
15, 3.21969714e+02, 2.05750385e-10
16, 2.43149847e+02, 1.33168455e-11
17, 1.82503075e+02, 8.22572140e-13
18, 1.36317880e+02, 4.84372099e-14
19, 1.02832783e+02, 2.71604949e-15
20, 7.96770830e+01, 1.44867696e-16
21, 6.32889996e+01, 7.34182558e-18
22, 5.02344526e+01, 3.53151043e-19
23, 3.90520191e+01, 1.61052920e-20
24, 2.95413480e+01, 6.95599269e-22
25, 2.17771192e+01, 2.84227581e-23
26, 1.61162271e+01, 1.09755935e-24
27, 1.16850614e+01, 4.00116979e-26
28, 8.30236573e+00, 1.37559448e-27
29, 5.62914957e+00, 4.45544272e-29
30, 3.96021144e+00, 1.35814599e-30
31, 2.73672187e+00, 3.89243480e-32
32, 1.75990064e+00, 1.04781842e-33
33, 1.03750308e+00, 2.64677899e-35
34, 5.10252022e-01, 6.26758786e-37
35, 2.98156933e-01, 1.39003483e-38
36, 9.57979680e-02, 2.88464470e-40
37, 0.00000000e+00, 5.59637739e-42
38, 0.00000000e+00, 1.01410804e-43
39, 0.00000000e+00, 1.71493110e-45
40, 0.00000000e+00, 2.70411563e-47
41, 0.00000000e+00, 3.97245745e-49
42, 0.00000000e+00, 5.43245872e-51
43, 0.00000000e+00, 6.91023997e-53
44, 0.00000000e+00, 8.16985385e-55
45, 0.00000000e+00, 8.97084828e-57
46, 0.00000000e+00, 9.14182863e-59
47, 0.00000000e+00, 8.63980454e-61
48, 0.00000000e+00, 7.56738132e-63
49, 0.00000000e+00, 6.13855801e-65
50, 0.00000000e+00, 4.60874720e-67
